year,month,state,no_of_fires,date
1999,Nov,Distrito Federal,1,1/1/1999
2000,Nov,Distrito Federal,0,1/1/2000
2001,Nov,Distrito Federal,0,1/1/2001
2002,Nov,Distrito Federal,1,1/1/2002
2003,Nov,Distrito Federal,0,1/1/2003
2004,Nov,Distrito Federal,0,1/1/2004
2005,Nov,Distrito Federal,2,1/1/2005
2006,Nov,Distrito Federal,0,1/1/2006
2007,Nov,Distrito Federal,0,1/1/2007
2008,Nov,Distrito Federal,4,1/1/2008
2009,Nov,Distrito Federal,,1/1/2009
2010,Nov,Distrito Federal,0,1/1/2010
2011,Nov,Distrito Federal,1,1/1/2011
2012,Nov,Distrito Federal,0,1/1/2012
2013,Nov,Distrito Federal,0,1/1/2013
2014,Nov,Distrito Federal,0,1/1/2014
2015,Nov,Distrito Federal,3,1/1/2015
2016,Nov,Distrito Federal,1,1/1/2016
2017,Nov,Distrito Federal,0,1/1/2017
1998,Dec,Distrito Federal,0,1/1/1998
1999,Dec,Distrito Federal,0,1/1/1999
2000,Dec,Distrito Federal,0,1/1/2000
2001,Dec,Distrito Federal,1,1/1/2001
2002,Dec,Distrito Federal,1,1/1/2002
2003,Dec,Distrito Federal,0,1/1/2003
2004,Dec,Distrito Federal,0,1/1/2004
2005,Dec,Distrito Federal,0,1/1/2005
2006,Dec,Distrito Federal,0,1/1/2006
2007,Dec,Distrito Federal,0,1/1/2007
2008,Dec,Distrito Federal,0,1/1/2008
2009,Dec,Distrito Federal,0,1/1/2009
2010,Dec,Distrito Federal,1,1/1/2010
2011,Dec,Distrito Federal,0,1/1/2011
2012,Dec,Distrito Federal,0,1/1/2012
2013,Dec,Distrito Federal,2,1/1/2013
2014,Dec,Distrito Federal,0,1/1/2014
2015,Dec,Distrito Federal,0,1/1/2015
2016,Dec,Distrito Federal,0,1/1/2016
1998,Jan,Espirito Santo,0,1/1/1998
1999,Jan,Espirito Santo,36,1/1/1999
2000,Jan,Espirito Santo,24,1/1/2000
2001,Jan,Espirito Santo,18,1/1/2001
2002,Jan,Espirito Santo,29,1/1/2002
2003,Jan,Espirito Santo,,1/1/2003
2004,Jan,Espirito Santo,22,1/1/2004
2005,Jan,Espirito Santo,28,1/1/2005
2006,Jan,Espirito Santo,109,1/1/2006
2007,Jan,Espirito Santo,91,1/1/2007
2008,Jan,Espirito Santo,85,1/1/2008
2009,Jan,Espirito Santo,74,1/1/2009
2010,Jan,Espirito Santo,118,1/1/2010
2011,Jan,Espirito Santo,61,1/1/2011
2012,Jan,Espirito Santo,75,1/1/2012
2013,Jan,Espirito Santo,75,1/1/2013
2014,Jan,Espirito Santo,133,1/1/2014
2015,Jan,Espirito Santo,147,1/1/2015
2016,Jan,Espirito Santo,61,1/1/2016
2017,Jan,Espirito Santo,,1/1/2017
1998,Feb,Espirito Santo,0,1/1/1998
1999,Feb,Espirito Santo,112,1/1/1999
2000,Feb,Espirito Santo,20,1/1/2000
2001,Feb,Espirito Santo,39,1/1/2001
2002,Feb,Espirito Santo,62,1/1/2002
2003,Feb,Espirito Santo,126,1/1/2003
2004,Feb,Espirito Santo,29,1/1/2004
2005,Feb,Espirito Santo,79,1/1/2005
2006,Feb,Espirito Santo,96,1/1/2006
2007,Feb,Espirito Santo,71,1/1/2007
2008,Feb,Espirito Santo,59,1/1/2008
2009,Feb,Espirito Santo,74,1/1/2009
2010,Feb,Espirito Santo,155,1/1/2010
2011,Feb,Espirito Santo,111,1/1/2011
2012,Feb,Espirito Santo,123,1/1/2012
2013,Feb,Espirito Santo,143,1/1/2013
2014,Feb,Espirito Santo,157,1/1/2014
2015,Feb,Espirito Santo,84,1/1/2015
2016,Feb,Espirito Santo,207,1/1/2016
2017,Feb,Espirito Santo,61,1/1/2017
1998,Mar,Espirito Santo,0,1/1/1998
1999,Mar,Espirito Santo,13,1/1/1999
2000,Mar,Espirito Santo,24,1/1/2000
2001,Mar,Espirito Santo,13,1/1/2001
2002,Mar,Espirito Santo,62,1/1/2002
2003,Mar,Espirito Santo,81,1/1/2003
2004,Mar,Espirito Santo,81,1/1/2004
2005,Mar,Espirito Santo,107,1/1/2005
2006,Mar,Espirito Santo,69,1/1/2006
2007,Mar,Espirito Santo,155,1/1/2007
2008,Mar,Espirito Santo,61,1/1/2008
2009,Mar,Espirito Santo,106,1/1/2009
2010,Mar,Espirito Santo,109,1/1/2010
2011,Mar,Espirito Santo,67,1/1/2011
2012,Mar,Espirito Santo,152,1/1/2012
2013,Mar,Espirito Santo,110,1/1/2013
2014,Mar,Espirito Santo,77,1/1/2014
2015,Mar,Espirito Santo,80,1/1/2015
2016,Mar,Espirito Santo,123,1/1/2016
2017,Mar,Espirito Santo,105,1/1/2017
1998,Apr,Espirito Santo,0,1/1/1998
1999,Apr,Espirito Santo,27,1/1/1999
2000,Apr,Espirito Santo,49,1/1/2000
2001,Apr,Espirito Santo,60,1/1/2001
2002,Apr,Espirito Santo,99,1/1/2002
2003,Apr,Espirito Santo,215,1/1/2003
2004,Apr,Espirito Santo,48,1/1/2004
2005,Apr,Espirito Santo,89,1/1/2005
2006,Apr,Espirito Santo,50,1/1/2006
2007,Apr,Espirito Santo,35,1/1/2007
2008,Apr,Espirito Santo,113,1/1/2008
2009,Apr,Espirito Santo,26,1/1/2009
2010,Apr,Espirito Santo,112,1/1/2010
2011,Apr,Espirito Santo,66,1/1/2011
2012,Apr,Espirito Santo,180,1/1/2012
2013,Apr,Espirito Santo,61,1/1/2013
2014,Apr,Espirito Santo,161,1/1/2014
2015,Apr,Espirito Santo,109,1/1/2015
2016,Apr,Espirito Santo,172,1/1/2016
2017,Apr,Espirito Santo,69,1/1/2017
1998,May,Espirito Santo,0,1/1/1998
1999,May,Espirito Santo,51,1/1/1999
2000,May,Espirito Santo,67,1/1/2000
2001,May,Espirito Santo,83,1/1/2001
2002,May,Espirito Santo,98,1/1/2002
2003,May,Espirito Santo,75,1/1/2003
2004,May,Espirito Santo,79,1/1/2004
2005,May,Espirito Santo,134,1/1/2005
2006,May,Espirito Santo,62,1/1/2006
2007,May,Espirito Santo,124,1/1/2007
2008,May,Espirito Santo,50,1/1/2008
2009,May,Espirito Santo,128,1/1/2009
2010,May,Espirito Santo,179,1/1/2010
2011,May,Espirito Santo,151,1/1/2011
2012,May,Espirito Santo,144,1/1/2012
2013,May,Espirito Santo,150,1/1/2013
2014,May,Espirito Santo,224,1/1/2014
2015,May,Espirito Santo,114,1/1/2015
2016,May,Espirito Santo,186,1/1/2016
2017,May,Espirito Santo,,1/1/2017
1998,Jun,Espirito Santo,70,1/1/1998
1999,Jun,Espirito Santo,132,1/1/1999
2000,Jun,Espirito Santo,135,1/1/2000
2001,Jun,Espirito Santo,166,1/1/2001
2002,Jun,Espirito Santo,207,1/1/2002
2003,Jun,Espirito Santo,245,1/1/2003
2004,Jun,Espirito Santo,209,1/1/2004
2005,Jun,Espirito Santo,246,1/1/2005
2006,Jun,Espirito Santo,73,1/1/2006
2007,Jun,Espirito Santo,184,1/1/2007
2008,Jun,Espirito Santo,48,1/1/2008
2009,Jun,Espirito Santo,173,1/1/2009
2010,Jun,Espirito Santo,139,1/1/2010
2011,Jun,Espirito Santo,304,1/1/2011
2012,Jun,Espirito Santo,219,1/1/2012
2013,Jun,Espirito Santo,144,1/1/2013
2014,Jun,Espirito Santo,376,1/1/2014
2015,Jun,Espirito Santo,200,1/1/2015
2016,Jun,Espirito Santo,263,1/1/2016
2017,Jun,Espirito Santo,360,1/1/2017
1998,Jul,Espirito Santo,232,1/1/1998
1999,Jul,Espirito Santo,318,1/1/1999
2000,Jul,Espirito Santo,345,1/1/2000
2001,Jul,Espirito Santo,266,1/1/2001
2002,Jul,Espirito Santo,741,1/1/2002
2003,Jul,Espirito Santo,407,1/1/2003
2004,Jul,Espirito Santo,625,1/1/2004
2005,Jul,Espirito Santo,467,1/1/2005
2006,Jul,Espirito Santo,336,1/1/2006
2007,Jul,Espirito Santo,446,1/1/2007
2008,Jul,Espirito Santo,,1/1/2008
2009,Jul,Espirito Santo,477,1/1/2009
2010,Jul,Espirito Santo,707,1/1/2010
2011,Jul,Espirito Santo,801,1/1/2011
2012,Jul,Espirito Santo,669,1/1/2012
2013,Jul,Espirito Santo,462,1/1/2013
2014,Jul,Espirito Santo,559,1/1/2014
2015,Jul,Espirito Santo,288,1/1/2015
2016,Jul,Espirito Santo,1.004,1/1/2016
2017,Jul,Espirito Santo,610,1/1/2017
1998,Aug,Espirito Santo,875,1/1/1998
1999,Aug,Espirito Santo,,1/1/1999
2000,Aug,Espirito Santo,769,1/1/2000
2001,Aug,Espirito Santo,858,1/1/2001
2002,Aug,Espirito Santo,2.041,1/1/2002
2003,Aug,Espirito Santo,1.955,1/1/2003
2004,Aug,Espirito Santo,1.642,1/1/2004
2005,Aug,Espirito Santo,1.029,1/1/2005
2006,Aug,Espirito Santo,959,1/1/2006
2007,Aug,Espirito Santo,2.975,1/1/2007
2008,Aug,Espirito Santo,605,1/1/2008
2009,Aug,Espirito Santo,685,1/1/2009
2010,Aug,Espirito Santo,3.353,1/1/2010
2011,Aug,Espirito Santo,2.742,1/1/2011
2012,Aug,Espirito Santo,901,1/1/2012
2013,Aug,Espirito Santo,911,1/1/2013
2014,Aug,Espirito Santo,1.952,1/1/2014
2015,Aug,Espirito Santo,1.059,1/1/2015
2016,Aug,Espirito Santo,1.433,1/1/2016
2017,Aug,Espirito Santo,2.142,1/1/2017
1998,Sep,Espirito Santo,1.981,1/1/1998
1999,Sep,Espirito Santo,,1/1/1999
2000,Sep,Espirito Santo,1.08,1/1/2000
2001,Sep,Espirito Santo,1.597,1/1/2001
2002,Sep,Espirito Santo,3.1,1/1/2002
2003,Sep,Espirito Santo,7.091,1/1/2003
2004,Sep,Espirito Santo,4.339,1/1/2004
2005,Sep,Espirito Santo,,1/1/2005
2006,Sep,Espirito Santo,2.78,1/1/2006
2007,Sep,Espirito Santo,5.088,1/1/2007
2008,Sep,Espirito Santo,2.552,1/1/2008
2009,Sep,Espirito Santo,1.31,1/1/2009
2010,Sep,Espirito Santo,,1/1/2010
2011,Sep,Espirito Santo,5.978,1/1/2011
2012,Sep,Espirito Santo,3.219,1/1/2012
2013,Sep,Espirito Santo,1.656,1/1/2013
2014,Sep,Espirito Santo,3.454,1/1/2014
2015,Sep,Espirito Santo,3.088,1/1/2015
2016,Sep,Espirito Santo,2.093,1/1/2016
2017,Sep,Espirito Santo,4.697,1/1/2017
1998,Oct,Espirito Santo,1.093,1/1/1998
1999,Oct,Espirito Santo,1.363,1/1/1999
2000,Oct,Espirito Santo,1.954,1/1/2000
2001,Oct,Espirito Santo,528,1/1/2001
2002,Oct,Espirito Santo,4.788,1/1/2002
2003,Oct,Espirito Santo,5.391,1/1/2003
2004,Oct,Espirito Santo,2.736,1/1/2004
2005,Oct,Espirito Santo,6.546,1/1/2005
2006,Oct,Espirito Santo,616,1/1/2006
2007,Oct,Espirito Santo,3.467,1/1/2007
2008,Oct,Espirito Santo,3.787,1/1/2008
2009,Oct,Espirito Santo,1.013,1/1/2009
2010,Oct,Espirito Santo,2.048,1/1/2010
2011,Oct,Espirito Santo,1.206,1/1/2011
2012,Oct,Espirito Santo,3.97,1/1/2012
2013,Oct,Espirito Santo,1.221,1/1/2013
2014,Oct,Espirito Santo,4.735,1/1/2014
2015,Oct,Espirito Santo,3.708,1/1/2015
2016,Oct,Espirito Santo,948,1/1/2016
2017,Oct,Espirito Santo,3.062,1/1/2017
1998,Nov,Espirito Santo,32,1/1/1998
1999,Nov,Espirito Santo,271,1/1/1999
2000,Nov,Espirito Santo,43,1/1/2000
2001,Nov,Espirito Santo,62,1/1/2001
2002,Nov,Espirito Santo,417,1/1/2002
2003,Nov,Espirito Santo,399,1/1/2003
2004,Nov,Espirito Santo,914,1/1/2004
2005,Nov,Espirito Santo,422,1/1/2005
2006,Nov,Espirito Santo,59,1/1/2006
2007,Nov,Espirito Santo,1.305,1/1/2007
2008,Nov,Espirito Santo,892,1/1/2008
2009,Nov,Espirito Santo,246,1/1/2009
2010,Nov,Espirito Santo,82,1/1/2010
2011,Nov,Espirito Santo,153,1/1/2011
2012,Nov,Espirito Santo,220,1/1/2012
2013,Nov,Espirito Santo,277,1/1/2013
2014,Nov,Espirito Santo,398,1/1/2014
2015,Nov,Espirito Santo,1.453,1/1/2015
2016,Nov,Espirito Santo,126,1/1/2016
2017,Nov,Espirito Santo,136,1/1/2017
1998,Dec,Espirito Santo,21,1/1/1998
1999,Dec,Espirito Santo,32,1/1/1999
2000,Dec,Espirito Santo,14,1/1/2000
2001,Dec,Espirito Santo,44,1/1/2001
2002,Dec,Espirito Santo,225,1/1/2002
2003,Dec,Espirito Santo,225,1/1/2003
2004,Dec,Espirito Santo,125,1/1/2004
2005,Dec,Espirito Santo,65,1/1/2005
2006,Dec,Espirito Santo,32,1/1/2006
2007,Dec,Espirito Santo,95,1/1/2007
2008,Dec,Espirito Santo,25,1/1/2008
2009,Dec,Espirito Santo,108,1/1/2009
2010,Dec,Espirito Santo,105,1/1/2010
2011,Dec,Espirito Santo,43,1/1/2011
2012,Dec,Espirito Santo,189,1/1/2012
2013,Dec,Espirito Santo,98,1/1/2013
2014,Dec,Espirito Santo,155,1/1/2014
2015,Dec,Espirito Santo,295,1/1/2015
2016,Dec,Espirito Santo,91,1/1/2016
1998,Jan,Goias,0,1/1/1998
1999,Jan,Goias,11,1/1/1999
2000,Jan,Goias,14,1/1/2000
2001,Jan,Goias,11,1/1/2001
2002,Jan,Goias,22,1/1/2002
2003,Jan,Goias,45,1/1/2003
2004,Jan,Goias,37,1/1/2004
2005,Jan,Goias,46,1/1/2005
2006,Jan,Goias,41,1/1/2006
2007,Jan,Goias,9,1/1/2007
2008,Jan,Goias,25,1/1/2008
2009,Jan,Goias,21,1/1/2009
2010,Jan,Goias,2,1/1/2010
2011,Jan,Goias,9,1/1/2011
2012,Jan,Goias,14,1/1/2012
2013,Jan,Goias,18,1/1/2013
2014,Jan,Goias,58,1/1/2014
2015,Jan,Goias,28,1/1/2015
2016,Jan,Goias,53,1/1/2016
2017,Jan,Goias,46,1/1/2017
1998,Feb,Goias,0,1/1/1998
1999,Feb,Goias,2,1/1/1999
2000,Feb,Goias,8,1/1/2000
2001,Feb,Goias,0,1/1/2001
2002,Feb,Goias,5,1/1/2002
2003,Feb,Goias,43,1/1/2003
2004,Feb,Goias,29,1/1/2004
2005,Feb,Goias,46,1/1/2005
2006,Feb,Goias,18,1/1/2006
2007,Feb,Goias,14,1/1/2007
2008,Feb,Goias,29,1/1/2008
2009,Feb,Goias,7,1/1/2009
2010,Feb,Goias,15,1/1/2010
2011,Feb,Goias,1,1/1/2011
2012,Feb,Goias,13,1/1/2012
2013,Feb,Goias,12,1/1/2013
2014,Feb,Goias,27,1/1/2014
2015,Feb,Goias,23,1/1/2015
2016,Feb,Goias,10,1/1/2016
2017,Feb,Goias,31,1/1/2017
1998,Mar,Goias,0,1/1/1998
1999,Mar,Goias,7,1/1/1999
2000,Mar,Goias,46,1/1/2000
2001,Mar,Goias,1,1/1/2001
2002,Mar,Goias,12,1/1/2002
2003,Mar,Goias,58,1/1/2003
2004,Mar,Goias,73,1/1/2004
2005,Mar,Goias,92,1/1/2005
2006,Mar,Goias,48,1/1/2006
2007,Mar,Goias,23,1/1/2007
2008,Mar,Goias,14,1/1/2008
2009,Mar,Goias,33,1/1/2009
2010,Mar,Goias,9,1/1/2010
2011,Mar,Goias,8,1/1/2011
2012,Mar,Goias,65,1/1/2012
2013,Mar,Goias,14,1/1/2013
2014,Mar,Goias,15,1/1/2014
2015,Mar,Goias,37,1/1/2015
2016,Mar,Goias,21,1/1/2016
2017,Mar,Goias,12,1/1/2017
1998,Apr,Goias,0,1/1/1998
1999,Apr,Goias,0,1/1/1999
2000,Apr,Goias,7,1/1/2000
2001,Apr,Goias,1,1/1/2001
2002,Apr,Goias,7,1/1/2002
2003,Apr,Goias,120,1/1/2003
2004,Apr,Goias,59,1/1/2004
2005,Apr,Goias,25,1/1/2005
2006,Apr,Goias,30,1/1/2006
2007,Apr,Goias,2,1/1/2007
2008,Apr,Goias,31,1/1/2008
2009,Apr,Goias,57,1/1/2009
2010,Apr,Goias,19,1/1/2010
2011,Apr,Goias,5,1/1/2011
2012,Apr,Goias,40,1/1/2012
2013,Apr,Goias,46,1/1/2013
2014,Apr,Goias,34,1/1/2014
2015,Apr,Goias,32,1/1/2015
2016,Apr,Goias,36,1/1/2016
2017,Apr,Goias,26,1/1/2017
1998,May,Goias,0,1/1/1998
1999,May,Goias,1,1/1/1999
2000,May,Goias,0,1/1/2000
2001,May,Goias,2,1/1/2001
2002,May,Goias,3,1/1/2002
2003,May,Goias,84,1/1/2003
2004,May,Goias,2,1/1/2004
2005,May,Goias,21,1/1/2005
2006,May,Goias,33,1/1/2006
2007,May,Goias,2,1/1/2007
2008,May,Goias,15,1/1/2008
2009,May,Goias,33,1/1/2009
2010,May,Goias,1,1/1/2010
2011,May,Goias,16,1/1/2011
2012,May,Goias,60,1/1/2012
2013,May,Goias,52,1/1/2013
2014,May,Goias,42,1/1/2014
2015,May,Goias,70,1/1/2015
2016,May,Goias,26,1/1/2016
2017,May,Goias,36,1/1/2017
1998,Jun,Goias,2,1/1/1998
1999,Jun,Goias,0,1/1/1999
2000,Jun,Goias,2,1/1/2000
2001,Jun,Goias,1,1/1/2001
2002,Jun,Goias,0,1/1/2002
2003,Jun,Goias,68,1/1/2003
2004,Jun,Goias,127,1/1/2004
2005,Jun,Goias,58,1/1/2005
2006,Jun,Goias,32,1/1/2006
2007,Jun,Goias,11,1/1/2007
2008,Jun,Goias,2,1/1/2008
2009,Jun,Goias,14,1/1/2009
2010,Jun,Goias,1,1/1/2010
2011,Jun,Goias,26,1/1/2011
2012,Jun,Goias,42,1/1/2012
2013,Jun,Goias,31,1/1/2013
2014,Jun,Goias,3,1/1/2014
2015,Jun,Goias,104,1/1/2015
2016,Jun,Goias,79,1/1/2016
2017,Jun,Goias,70,1/1/2017
1998,Jul,Goias,0,1/1/1998
1999,Jul,Goias,2,1/1/1999
2000,Jul,Goias,21,1/1/2000
2001,Jul,Goias,5,1/1/2001
2002,Jul,Goias,82,1/1/2002
2003,Jul,Goias,43,1/1/2003
2004,Jul,Goias,94,1/1/2004
2005,Jul,Goias,90,1/1/2005
2006,Jul,Goias,74,1/1/2006
2007,Jul,Goias,12,1/1/2007
2008,Jul,Goias,46,1/1/2008
2009,Jul,Goias,26,1/1/2009
2010,Jul,Goias,31,1/1/2010
2011,Jul,Goias,31,1/1/2011
2012,Jul,Goias,42,1/1/2012
2013,Jul,Goias,69,1/1/2013
2014,Jul,Goias,82,1/1/2014
2015,Jul,Goias,45,1/1/2015
2016,Jul,Goias,480,1/1/2016
2017,Jul,Goias,591,1/1/2017
1998,Aug,Goias,0,1/1/1998
1999,Aug,Goias,51,1/1/1999
2000,Aug,Goias,69,1/1/2000
2001,Aug,Goias,24,1/1/2001
2002,Aug,Goias,702,1/1/2002
2003,Aug,Goias,1.513,1/1/2003
2004,Aug,Goias,728,1/1/2004
2005,Aug,Goias,391,1/1/2005
2006,Aug,Goias,728,1/1/2006
2007,Aug,Goias,462,1/1/2007
2008,Aug,Goias,,1/1/2008
2009,Aug,Goias,759,1/1/2009
2010,Aug,Goias,511,1/1/2010
2011,Aug,Goias,175,1/1/2011
2012,Aug,Goias,398,1/1/2012
2013,Aug,Goias,236,1/1/2013
2014,Aug,Goias,459,1/1/2014
2015,Aug,Goias,379,1/1/2015
2016,Aug,Goias,,1/1/2016
2017,Aug,Goias,713,1/1/2017
1998,Sep,Goias,6,1/1/1998
1999,Sep,Goias,101,1/1/1999
2000,Sep,Goias,36,1/1/2000
2001,Sep,Goias,18,1/1/2001
2002,Sep,Goias,416,1/1/2002
2003,Sep,Goias,1.339,1/1/2003
2004,Sep,Goias,755,1/1/2004
2005,Sep,Goias,116,1/1/2005
2006,Sep,Goias,530,1/1/2006
2007,Sep,Goias,617,1/1/2007
2008,Sep,Goias,233,1/1/2008
2009,Sep,Goias,47,1/1/2009
2010,Sep,Goias,198,1/1/2010
2011,Sep,Goias,450,1/1/2011
2012,Sep,Goias,188,1/1/2012
2013,Sep,Goias,303,1/1/2013
2014,Sep,Goias,208,1/1/2014
2015,Sep,Goias,156,1/1/2015
2016,Sep,Goias,644,1/1/2016
2017,Sep,Goias,626,1/1/2017
1998,Oct,Goias,4,1/1/1998
1999,Oct,Goias,16,1/1/1999
2000,Oct,Goias,55,1/1/2000
2001,Oct,Goias,26,1/1/2001
2002,Oct,Goias,42,1/1/2002
2003,Oct,Goias,669,1/1/2003
2004,Oct,Goias,704,1/1/2004
2005,Oct,Goias,197,1/1/2005
2006,Oct,Goias,269,1/1/2006
2007,Oct,Goias,35,1/1/2007
2008,Oct,Goias,56,1/1/2008
2009,Oct,Goias,252,1/1/2009
2010,Oct,Goias,76,1/1/2010
2011,Oct,Goias,102,1/1/2011
2012,Oct,Goias,34,1/1/2012
2013,Oct,Goias,,1/1/2013
2014,Oct,Goias,122,1/1/2014
2015,Oct,Goias,21,1/1/2015
2016,Oct,Goias,56,1/1/2016
2017,Oct,Goias,51,1/1/2017
1998,Nov,Goias,21,1/1/1998
1999,Nov,Goias,84,1/1/1999
2000,Nov,Goias,19,1/1/2000
2001,Nov,Goias,66,1/1/2001
2002,Nov,Goias,348,1/1/2002
2003,Nov,Goias,347,1/1/2003
2004,Nov,Goias,279,1/1/2004
2005,Nov,Goias,384,1/1/2005
2006,Nov,Goias,45,1/1/2006
2007,Nov,Goias,26,1/1/2007
2008,Nov,Goias,16,1/1/2008
2009,Nov,Goias,61,1/1/2009
2010,Nov,Goias,88,1/1/2010
2011,Nov,Goias,79,1/1/2011
2012,Nov,Goias,72,1/1/2012
2013,Nov,Goias,84,1/1/2013
2014,Nov,Goias,43,1/1/2014
2015,Nov,Goias,9,1/1/2015
2016,Nov,Goias,156,1/1/2016
2017,Nov,Goias,152,1/1/2017
1998,Dec,Goias,26,1/1/1998
1999,Dec,Goias,89,1/1/1999
2000,Dec,Goias,29,1/1/2000
2001,Dec,Goias,45,1/1/2001
2002,Dec,Goias,76,1/1/2002
2003,Dec,Goias,129,1/1/2003
2004,Dec,Goias,68,1/1/2004
2005,Dec,Goias,17,1/1/2005
2006,Dec,Goias,7,1/1/2006
2007,Dec,Goias,17,1/1/2007
2008,Dec,Goias,29,1/1/2008
2009,Dec,Goias,20,1/1/2009
2010,Dec,Goias,23,1/1/2010
2011,Dec,Goias,24,1/1/2011
2012,Dec,Goias,32,1/1/2012
2013,Dec,Goias,,1/1/2013
2014,Dec,Goias,45,1/1/2014
2015,Dec,Goias,19,1/1/2015
2016,Dec,Goias,20,1/1/2016
1998,Jan,Maranhao,0,1/1/1998
1999,Jan,Maranhao,54,1/1/1999
2000,Jan,Maranhao,19,1/1/2000
2001,Jan,Maranhao,29,1/1/2001
2002,Jan,Maranhao,48,1/1/2002
2003,Jan,Maranhao,436,1/1/2003
2004,Jan,Maranhao,241,1/1/2004
2005,Jan,Maranhao,450,1/1/2005
2006,Jan,Maranhao,221,1/1/2006
2007,Jan,Maranhao,428,1/1/2007
2008,Jan,Maranhao,121,1/1/2008
2009,Jan,Maranhao,,1/1/2009
2010,Jan,Maranhao,319,1/1/2010
2011,Jan,Maranhao,124,1/1/2011
2012,Jan,Maranhao,326,1/1/2012
2013,Jan,Maranhao,209,1/1/2013
2014,Jan,Maranhao,195,1/1/2014
2015,Jan,Maranhao,494,1/1/2015
2016,Jan,Maranhao,412,1/1/2016
2017,Jan,Maranhao,187,1/1/2017
1998,Feb,Maranhao,0,1/1/1998
1999,Feb,Maranhao,6,1/1/1999
2000,Feb,Maranhao,11,1/1/2000
2001,Feb,Maranhao,1,1/1/2001
2002,Feb,Maranhao,116,1/1/2002
2003,Feb,Maranhao,11,1/1/2003
2004,Feb,Maranhao,22,1/1/2004
2005,Feb,Maranhao,56,1/1/2005
2006,Feb,Maranhao,22,1/1/2006
2007,Feb,Maranhao,13,1/1/2007
2008,Feb,Maranhao,45,1/1/2008
2009,Feb,Maranhao,20,1/1/2009
2010,Feb,Maranhao,93,1/1/2010
2011,Feb,Maranhao,9,1/1/2011
2012,Feb,Maranhao,46,1/1/2012
2013,Feb,Maranhao,62,1/1/2013
2014,Feb,Maranhao,29,1/1/2014
2015,Feb,Maranhao,95,1/1/2015
2016,Feb,Maranhao,318,1/1/2016
2017,Feb,Maranhao,47,1/1/2017
1998,Mar,Maranhao,0,1/1/1998
1999,Mar,Maranhao,17,1/1/1999
2000,Mar,Maranhao,6,1/1/2000
2001,Mar,Maranhao,0,1/1/2001
2002,Mar,Maranhao,16,1/1/2002
2003,Mar,Maranhao,16,1/1/2003
2004,Mar,Maranhao,18,1/1/2004
2005,Mar,Maranhao,9,1/1/2005
2006,Mar,Maranhao,14,1/1/2006
2007,Mar,Maranhao,52,1/1/2007
2008,Mar,Maranhao,4,1/1/2008
2009,Mar,Maranhao,33,1/1/2009
2010,Mar,Maranhao,82,1/1/2010
2011,Mar,Maranhao,22,1/1/2011
2012,Mar,Maranhao,49,1/1/2012
2013,Mar,Maranhao,30,1/1/2013
2014,Mar,Maranhao,59,1/1/2014
2015,Mar,Maranhao,53,1/1/2015
2016,Mar,Maranhao,113,1/1/2016
2017,Mar,Maranhao,32,1/1/2017
1998,Apr,Maranhao,0,1/1/1998
1999,Apr,Maranhao,4,1/1/1999
2000,Apr,Maranhao,6,1/1/2000
2001,Apr,Maranhao,2,1/1/2001
2002,Apr,Maranhao,28,1/1/2002
2003,Apr,Maranhao,79,1/1/2003
2004,Apr,Maranhao,,1/1/2004
2005,Apr,Maranhao,43,1/1/2005
2006,Apr,Maranhao,9,1/1/2006
2007,Apr,Maranhao,5,1/1/2007
2008,Apr,Maranhao,26,1/1/2008
2009,Apr,Maranhao,14,1/1/2009
2010,Apr,Maranhao,128,1/1/2010
2011,Apr,Maranhao,37,1/1/2011
2012,Apr,Maranhao,97,1/1/2012
2013,Apr,Maranhao,62,1/1/2013
2014,Apr,Maranhao,78,1/1/2014
2015,Apr,Maranhao,119,1/1/2015
2016,Apr,Maranhao,113,1/1/2016
2017,Apr,Maranhao,91,1/1/2017
1998,May,Maranhao,0,1/1/1998
1999,May,Maranhao,3,1/1/1999
2000,May,Maranhao,28,1/1/2000
2001,May,Maranhao,21,1/1/2001
2002,May,Maranhao,71,1/1/2002
2003,May,Maranhao,60,1/1/2003
2004,May,Maranhao,145,1/1/2004
2005,May,Maranhao,74,1/1/2005
2006,May,Maranhao,5,1/1/2006
2007,May,Maranhao,73,1/1/2007
2008,May,Maranhao,26,1/1/2008
2009,May,Maranhao,19,1/1/2009
2010,May,Maranhao,273,1/1/2010
2011,May,Maranhao,73,1/1/2011
2012,May,Maranhao,286,1/1/2012
2013,May,Maranhao,100,1/1/2013
2014,May,Maranhao,148,1/1/2014
2015,May,Maranhao,194,1/1/2015
2016,May,Maranhao,206,1/1/2016
2017,May,Maranhao,142,1/1/2017
1998,Jun,Maranhao,78,1/1/1998
1999,Jun,Maranhao,32,1/1/1999
2000,Jun,Maranhao,94,1/1/2000
2001,Jun,Maranhao,100,1/1/2001
2002,Jun,Maranhao,230,1/1/2002
2003,Jun,Maranhao,338,1/1/2003
2004,Jun,Maranhao,706,1/1/2004
2005,Jun,Maranhao,529,1/1/2005
2006,Jun,Maranhao,131,1/1/2006
2007,Jun,Maranhao,515,1/1/2007
2008,Jun,Maranhao,235,1/1/2008
2009,Jun,Maranhao,279,1/1/2009
2010,Jun,Maranhao,494,1/1/2010
2011,Jun,Maranhao,602,1/1/2011
2012,Jun,Maranhao,915,1/1/2012
2013,Jun,Maranhao,498,1/1/2013
2014,Jun,Maranhao,812,1/1/2014
